カテゴリ,質問,回答,キーワード
料金,平日割引はありますか?,はい、平日(月〜金)は¥3,000割引でご案内しております。ただし祝日は対象外です。,"平日割引,料金,割引"
料金,平日は割引ありますか?,平日は¥3,000引きです。祝日除く。,"平日,料金,割引"
撮影時間,朝一番の時間は何時からですか?,朝は10:00から撮影開始が可能です。お子様の機嫌の良い時間帯でのご予約をおすすめしております。,"営業時間,朝,撮影開始"
撮影時間,何時から撮影できますか?,10時から撮影可能です。,"営業時間,時間"
データ,データの追加購入はできますか?,はい、撮影データの追加購入は1枚¥500で承ります。撮影後30日以内にお申し込みください。,"データ追加,写真,購入"
ヘアメイク,ママのヘアセットもお願いできますか?,はい、ママのヘアセットは¥3,000で承っております。事前にご予約をお願いします。,"ママ,ヘアセット,美容"
延長,撮影時間の延長は可能ですか?,撮影時間の延長は30分単位で¥5,000にて承ります。当日のスケジュール状況により対応できない場合がございます。,"時間延長,追加料金,延長"
アルバム,アルバム作成はできますか?,はい、フォトアルバムの作成も承っております。サイズや冊数により料金が異なります。詳しくはお問い合わせください。,"アルバム,写真集,製本"
予約,予約の変更はいつまで可能ですか?,撮影日の3日前まで無料で変更可能です。それ以降はキャンセル料が発生する場合があります。,"予約変更,日程変更,キャンセル"
予約,予約変更できますか?,撮影の3日前までなら無料で変更できます。,"予約,変更"
